z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-56.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-55.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-54.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-53.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-52.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-51.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-50.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-49.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-48.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-47.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-46.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-45.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-44.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-43.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-42.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-41.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-40.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-39.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-38.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-37.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-36.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-35.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-34.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-33.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-32.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-31.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-30.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-29.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
-28.500000	0.990000	0.990000	0.980000	0.990000	0.990000	0.990000	0.980000	0.990000	0.990000	0.987778	0.001470
-27.500000	0.980000	0.980000	0.970000	0.980000	0.980000	0.980000	0.970000	0.980000	0.980000	0.977778	0.001470
-26.500000	0.960000	0.960000	0.960000	0.960000	0.960000	0.960000	0.950000	0.950000	0.960000	0.957778	0.001470
-25.500000	0.930000	0.920000	0.920000	0.930000	0.920000	0.920000	0.910000	0.920000	0.920000	0.921111	0.002003
-24.500000	0.880000	0.870000	0.870000	0.880000	0.870000	0.870000	0.860000	0.870000	0.870000	0.871111	0.002003
-23.500000	0.810000	0.800000	0.810000	0.810000	0.810000	0.810000	0.800000	0.800000	0.810000	0.806667	0.001667
-22.500000	0.730000	0.730000	0.730000	0.740000	0.730000	0.730000	0.720000	0.720000	0.730000	0.728889	0.002003
-21.500000	0.650000	0.650000	0.650000	0.650000	0.650000	0.650000	0.640000	0.640000	0.650000	0.647778	0.001470
-20.500000	0.580000	0.570000	0.570000	0.580000	0.570000	0.580000	0.560000	0.560000	0.570000	0.571111	0.002606
-19.500000	0.510000	0.500000	0.510000	0.510000	0.510000	0.520000	0.500000	0.500000	0.510000	0.507778	0.002222
-18.500000	0.460000	0.450000	0.450000	0.450000	0.450000	0.460000	0.450000	0.450000	0.450000	0.452222	0.001470
-17.500000	0.400000	0.390000	0.390000	0.400000	0.390000	0.400000	0.390000	0.390000	0.390000	0.393333	0.001667
-16.500000	0.330000	0.330000	0.330000	0.330000	0.330000	0.330000	0.320000	0.320000	0.330000	0.327778	0.001470
-15.500000	0.260000	0.250000	0.250000	0.260000	0.260000	0.260000	0.250000	0.240000	0.250000	0.253333	0.002357
-14.500000	0.180000	0.170000	0.170000	0.180000	0.180000	0.180000	0.170000	0.160000	0.170000	0.173333	0.002357
-13.500000	0.110000	0.100000	0.100000	0.110000	0.110000	0.110000	0.100000	0.100000	0.100000	0.104444	0.001757
-12.500000	0.060000	0.050000	0.050000	0.050000	0.050000	0.060000	0.050000	0.050000	0.050000	0.052222	0.001470
-11.500000	0.030000	0.020000	0.020000	0.020000	0.020000	0.030000	0.030000	0.020000	0.020000	0.023333	0.001667
-10.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
-9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
11.500000	0.030000	0.030000	0.020000	0.020000	0.020000	0.030000	0.020000	0.020000	0.020000	0.023333	0.001667
12.500000	0.060000	0.060000	0.050000	0.050000	0.050000	0.060000	0.050000	0.050000	0.050000	0.053333	0.001667
13.500000	0.110000	0.110000	0.100000	0.100000	0.100000	0.110000	0.100000	0.100000	0.100000	0.103333	0.001667
14.500000	0.180000	0.170000	0.180000	0.180000	0.170000	0.180000	0.170000	0.170000	0.170000	0.174444	0.001757
15.500000	0.260000	0.250000	0.260000	0.260000	0.250000	0.260000	0.250000	0.250000	0.250000	0.254444	0.001757
16.500000	0.340000	0.330000	0.330000	0.340000	0.330000	0.340000	0.320000	0.320000	0.330000	0.331111	0.002606
17.500000	0.400000	0.390000	0.400000	0.400000	0.390000	0.400000	0.390000	0.390000	0.400000	0.395556	0.001757
18.500000	0.460000	0.450000	0.450000	0.460000	0.450000	0.460000	0.440000	0.440000	0.450000	0.451111	0.002606
19.500000	0.510000	0.510000	0.500000	0.510000	0.500000	0.510000	0.500000	0.500000	0.510000	0.505556	0.001757
20.500000	0.580000	0.570000	0.570000	0.580000	0.570000	0.570000	0.570000	0.560000	0.570000	0.571111	0.002003
21.500000	0.660000	0.650000	0.640000	0.650000	0.650000	0.650000	0.640000	0.640000	0.650000	0.647778	0.002222
22.500000	0.740000	0.730000	0.730000	0.730000	0.730000	0.740000	0.720000	0.720000	0.730000	0.730000	0.002357
23.500000	0.810000	0.800000	0.800000	0.810000	0.810000	0.810000	0.800000	0.800000	0.800000	0.804444	0.001757
24.500000	0.880000	0.870000	0.870000	0.870000	0.870000	0.880000	0.870000	0.870000	0.870000	0.872222	0.001470
25.500000	0.930000	0.920000	0.920000	0.920000	0.920000	0.930000	0.920000	0.920000	0.920000	0.922222	0.001470
26.500000	0.960000	0.950000	0.960000	0.960000	0.960000	0.960000	0.950000	0.950000	0.960000	0.956667	0.001667
27.500000	0.980000	0.970000	0.980000	0.980000	0.980000	0.980000	0.970000	0.980000	0.980000	0.977778	0.001470
28.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
29.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
30.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
31.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
32.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
33.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
34.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
35.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
36.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
37.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
38.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
39.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
40.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
41.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
42.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
43.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
44.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
45.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
46.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
47.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
48.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
49.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
50.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
51.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
52.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
53.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
54.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
55.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
56.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
57.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
58.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
59.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
60.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
61.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
62.500000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.000000
63.500000	0.980000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.990000	0.988889	0.001111
64.500000	0.970000	0.970000	0.980000	0.970000	0.990000	0.980000	0.990000	0.980000	0.980000	0.978889	0.002606
65.500000	0.920000	0.950000	0.950000	0.950000	0.970000	0.940000	0.970000	0.960000	0.940000	0.950000	0.005270
66.500000	0.840000	0.890000	0.890000	0.890000	0.920000	0.860000	0.940000	0.900000	0.880000	0.890000	0.009860
67.500000	0.720000	0.790000	0.780000	0.770000	0.810000	0.710000	0.840000	0.810000	0.780000	0.778889	0.013989
68.500000	0.570000	0.630000	0.620000	0.580000	0.630000	0.500000	0.680000	0.680000	0.620000	0.612222	0.018766
69.500000	0.380000	0.450000	0.420000	0.380000	0.410000	0.330000	0.460000	0.510000	0.420000	0.417778	0.017462
70.500000	0.210000	0.280000	0.240000	0.200000	0.220000	0.210000	0.270000	0.320000	0.250000	0.244444	0.013240
71.500000	0.100000	0.140000	0.120000	0.090000	0.110000	0.110000	0.140000	0.170000	0.130000	0.123333	0.008165
72.500000	0.040000	0.050000	0.050000	0.030000	0.050000	0.050000	0.060000	0.070000	0.060000	0.051111	0.003889
73.500000	0.010000	0.010000	0.020000	0.010000	0.020000	0.020000	0.020000	0.020000	0.030000	0.017778	0.002222
74.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.010000	0.002222	0.001470
75.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
76.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
